1,"Participant 65","Consistant","Target 1 Raw Latency",1014,1357,1701,1264,1388,1139,1716,2043,1201,1607,1731,1310,1295,1732,2995,1888,936,1092,1108,2059,1170,1857,1419,983,1263,1809,1419,1420,1326,1107,1513,1108
1,"Participant 65","Consistant","Target 2 Raw Latency",967,1279,1389,2605,1357,1965,1591,1623,1357,1326,1107,1684,2106,1544,1388,1498,905,1342,1887,2169,1514,1545,1404,1919,967,1451,1841,1747,1092,1170,1295,2449
1,"Participant 65","Consistant","Target 3 Raw Latency",1778,1217,2402,1357,1326,1014,1280,1654,1139,1560,1388,1373,1825,1529,1388,1389,1232,1591,1497,1217,1373,1950,1310,2449,1264,1794,1372,1248,1809,1513,1747,1592
1,"Participant 65","Consistant","Target 4 Raw Latency",1232,2496,1966,1498,1045,1622,1201,1779,1123,2091,2589,1420,1373,1451,1732,2059,1139,1077,1326,2293,1654,1186,1326,2246,1107,1794,1467,1373,1295,1420,1856,1654
1,"Participant 65","Consistant","Target 5 Raw Latency",1467,1388,1310,1623,1638,1888,1435,1451,1529,1279,1591,1669,1186,1529,1888,2278,1295,2200,1466,2277,1326,1342,2216,1139,1482,1420,2059,1545,1139,2012,1623,1482
1,"Participant 65","Consistant","Target 6 Raw Latency",1123,2121,1311,1825,1466,1108,1638,2184,1107,1217,1513,1669,1216,1232,1357,1154,1092,1061,1685,1248,1591,1217,1201,1576,1419,1201,1716,1108,1965,889,1638,1311
1,"Participant 65","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 65","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 65","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 65","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 65","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 65","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 65","Consistant","Target 1 Accuracy","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Wrong","Correct","Wrong","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Wrong"
1,"Participant 65","Consistant","Target 2 Accuracy","Correct","Wrong","Correct","Wrong","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Correct"
1,"Participant 65","Consistant","Target 3 Accuracy","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 65","Consistant","Target 4 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Wrong","Wrong","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct"
1,"Participant 65","Consistant","Target 5 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 65","Consistant","Target 6 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct","Correct","Wrong","Wrong","Wrong","Correct","Correct","Correct","Wrong","Correct","Wrong","Correct","Wrong"
1,"Participant 65","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 65","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 65","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 65","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 65","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 65","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
