1,"Participant 034","Consistant","Target 1 Raw Latency",1514,1513,2169,2215,1654,967,1357,3542,1014,1030,1248,1622,2075,2090,2371,1201,1623,1139,2793,1342,1154,1202,1482,1997,1373,1170,1388,1653,1155,1700,1232,1342
1,"Participant 034","Consistant","Target 2 Raw Latency",998,1498,1576,1467,1763,1872,1841,1388,1014,1513,1201,1498,1295,1154,1592,1420,1154,1654,1264,1872,1185,2153,1825,1420,1404,1217,1435,1872,1248,1279,1887,1545
1,"Participant 034","Consistant","Target 3 Raw Latency",1326,1170,1264,1170,983,1311,2355,1622,905,1217,1202,1217,1092,1138,1310,2730,983,1248,1233,1451,1326,1248,2247,1935,1233,2184,1497,1233,1638,1061,1622,1263
1,"Participant 034","Consistant","Target 4 Raw Latency",1170,1373,1591,1451,1279,1638,1888,1357,1404,1342,1763,1716,1030,1310,2059,1467,1342,1451,1778,1419,1092,1186,1575,2012,1794,2060,2059,1529,1029,1513,1295,1294
1,"Participant 034","Consistant","Target 5 Raw Latency",1638,1482,1404,1123,1045,1529,1342,1638,1108,1435,1997,1685,1030,1357,1389,1560,889,1466,1372,1326,2091,1279,1248,1809,1154,1591,1482,1388,983,1264,1389,1326
1,"Participant 034","Consistant","Target 6 Raw Latency",1154,1108,1513,1107,1341,1139,1373,1107,1014,1014,1435,1263,1638,2091,1357,1310,1263,999,1404,1841,951,1201,1497,1435,1045,1934,1716,1264,1029,1092,1825,1092
1,"Participant 034","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 034","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 034","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 034","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 034","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 034","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 034","Consistant","Target 1 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 034","Consistant","Target 2 Accuracy","Correct","Correct","Wrong","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 034","Consistant","Target 3 Accuracy","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 034","Consistant","Target 4 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Wrong","Correct","Correct"
1,"Participant 034","Consistant","Target 5 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct"
1,"Participant 034","Consistant","Target 6 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Wrong","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 034","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 034","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 034","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 034","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 034","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 034","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
