1,"Participant 04","Consistant","Target 1 Raw Latency",905,1545,1529,2512,1154,1108,2558,1622,843,983,1186,1623,1076,952,1653,1123,1560,1045,2356,1326,1186,905,2683,1217,905,1747,2481,1826,1076,1154,1201,1544
1,"Participant 04","Consistant","Target 2 Raw Latency",1341,1233,1778,1669,1123,1513,1201,1732,1092,1451,2886,1388,905,843,1248,2590,998,1498,1575,2044,1077,1014,1419,2496,1342,1201,1872,1248,1107,967,2386,2277
1,"Participant 04","Consistant","Target 3 Raw Latency",1498,1794,2387,1420,1092,1170,1310,1684,1513,983,1498,1513,1014,1264,1841,1638,889,998,1779,1965,1092,1404,2184,3073,1201,1076,1154,1404,1341,1045,2106,1497
1,"Participant 04","Consistant","Target 4 Raw Latency",1357,1482,1622,1498,2106,1092,1622,2418,1326,1310,2075,1373,1045,1123,2231,2543,936,1482,1482,1295,1731,1155,1389,2309,1076,1123,2403,1232,1061,951,2215,1544
1,"Participant 04","Consistant","Target 5 Raw Latency",843,1170,1155,2028,1575,1279,1201,1435,1326,1202,3915,2075,1342,889,1872,2761,905,1170,1342,1497,1248,952,1201,3261,1638,1014,2044,1295,1295,1108,1810,2247
1,"Participant 04","Consistant","Target 6 Raw Latency",1233,1451,1451,1264,1217,1076,1451,1544,796,1014,1092,1419,1014,968,1545,1653,874,1529,1592,1263,1046,1077,1202,1498,920,1435,1295,1404,1170,1014,1373,1638
1,"Participant 04","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 04","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 04","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 04","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 04","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 04","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 04","Consistant","Target 1 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 04","Consistant","Target 2 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 04","Consistant","Target 3 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong"
1,"Participant 04","Consistant","Target 4 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 04","Consistant","Target 5 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 04","Consistant","Target 6 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 04","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 04","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 04","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 04","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 04","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 04","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
