rownumber,experiment,participant,block_order,data_type,fp_c_tt1,fp_c_tt2,fp_c_tt3,fp_c_tt4,fp_ic_tt1,fp_ic_tt2,fp_ic_tt3,fp_ic_tt4,t1_c_tt1,t1_c_tt2,t1_c_tt3,t1_c_tt4,t1_ic_tt1,t1_ic_tt2,t1_ic_tt3,t1_ic_tt4,t2_c_tt1,t2_c_tt2,t2_c_tt3,t2_c_tt4,t2_ic_tt1,t2_ic_tt2,t2_ic_tt3,t2_ic_tt4,t3_c_tt1,t3_c_tt2,t3_c_tt3,t3_c_tt4,t3_ic_tt1,t3_ic_tt2,t3_ic_tt3,t3_ic_tt4
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 1 Raw Latency,1170,2294,2309,1185,1576,1404,1638,1731,1357,1840,2512,1341,1809,1029,1529,1373,1638,1435,1732,1919,2262,2230,1372,1435,1623,2247,1935,1841,1919,1498,1498,1935
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 2 Raw Latency,1310,1732,1638,1747,1498,1575,1498,1404,1232,2075,1498,1872,1450,2137,1389,2387,1560,1841,1841,1326,1544,1404,1326,1716,1138,1326,2340,1716,2325,1482,1529,1606
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 3 Raw Latency,1233,1451,2527,1404,1404,1732,1669,1607,1684,1575,2122,1560,1825,1560,1669,2028,1404,2090,1607,1248,2044,1388,1996,1934,1763,2059,1560,2387,1388,1326,1685,1279
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 4 Raw Latency,1372,1295,1857,2106,1575,1201,1529,2246,1482,1498,1419,1794,2512,1716,1700,1684,1232,1435,3354,2215,1373,1264,2558,3260,1311,2636,2637,1732,1622,1092,1623,2184
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 5 Raw Latency,1451,1326,1903,2184,1872,2044,1435,2715,1482,1576,2075,1622,1560,1467,2044,1404,1888,2325,1825,1575,1607,1326,1419,1872,2106,1358,1732,1560,1342,1295,2621,1622
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 6 Raw Latency,1513,1186,1794,1451,1326,1232,2667,1419,1404,1825,1420,1186,1389,2106,1638,1950,1326,1404,1201,1700,1794,1248,1700,1342,1342,1342,1233,1545,1357,1513,2371,1373
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 1 Accuracy,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 2 Accuracy,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
1,van der kaap et al - 2018 - needs desire irap,Participant 0025,consistent,Target 3 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong
